artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Snoh Aalegra,FEELS,Fool For You,2TRnVXGSK4aBtfEOaB460m,0.58,0.278,2,-11.569,1,0.0701,0.000241,0.104,0.259,149.781,194303,3
Frank Ocean,Blonde,Self Control,5GUYJTQap5F3RDQiCOJhrS,0.581,0.21,8,-10.426,1,0.0321,0.0,0.369,0.452,80.099,249668,4
Michael Jackson,XSCAPE,Love Never Felt So Good,48td6xvpokdYwvbl3JIiXP,0.775,0.719,7,-6.212,0,0.0435,1.79e-06,0.0662,0.712,117.513,246027,4
Justin Timberlake,The 20/20 Experience (Deluxe Version),Suit & Tie (feat. Jay-Z),6vt0I1cw1YmAIKDJvHVIM5,0.795,0.596,11,-3.799,0,0.219,0.0,0.164,0.357,101.985,326280,4
The Weeknd,Starboy,Die For You,2LBqCSwhJGcFQeTHMVGwy3,0.586,0.525,1,-7.163,0,0.0615,0.0,0.134,0.508,133.629,260253,4
The Weeknd,Starboy,I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,0.773,0.819,0,-5.946,0,0.118,0.0,0.0679,0.585,92.99,269187,4
Bruno Mars,24K Magic,Versace on the Floor,0kN8xEmgMW9mh7UmDYHlJP,0.578,0.574,2,-6.209,1,0.0454,0.0,0.083,0.301,174.152,261240,4
Jeremy Zucker,"summer,",comethru,18uwL0vNUanqZH0ro2QcOP,0.795,0.178,0,-11.991,1,0.0574,0.0,0.623,0.608,93.982,181613,4
dalynn,thrifted youth,thrifted youth,6jnlnvLfayYxvn4kYQl36c,0.57,0.0674,11,-14.907,0,0.0793,0.0,0.0861,0.47,73.343,200526,4
Eloise,This Thing Called Living,Subside,7EZzBzo5ZoRPKzZbE9iGun,0.736,0.461,8,-6.412,1,0.358,0.00487,0.149,0.486,81.979,188186,4
Roddy Ricch,Please Excuse Me for Being Antisocial,High Fashion (feat. Mustard),07KXEDMj78x68D884wgVEm,0.831,0.499,11,-8.442,0,0.114,0.0,0.3,0.511,97.956,220487,4
Frank Ocean,Blonde,Pink + White,3xKsf9qdS1CyvXSMEid6g8,0.545,0.545,9,-7.362,1,0.107,5.48e-05,0.417,0.549,159.94,184516,3
Frank Ocean,channel ORANGE,Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,0.721,0.339,0,-11.195,1,0.0532,0.00153,0.0973,0.2,129.83,200747,4
Marc E. Bassy,"Only The Poets Mixtape, Vol. 1",Lock It Up (feat. Kehlani),6uT9XRrPvimLt62FNjMNBv,0.738,0.443,5,-9.614,0,0.0707,0.0,0.103,0.687,127.084,226220,4
Mac Ayres,Drive Slow,The Devil's in the Details,5q0zxo739jt8HAyo88vNkt,0.708,0.507,6,-8.876,0,0.0549,0.000547,0.101,0.543,76.757,177517,4
Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),All I Need (with Mahalia & Ty Dolla $ign),68j5DYmCikBzcp60Sv6xWO,0.485,0.492,5,-6.462,0,0.331,0.0,0.105,0.876,78.001,243787,4
